73517,4047.7,12436
66006,3548.1,20446
26597,62043,1360.1
26332,22091,41577
19026,32053,38921
41643,16141,32215
11138,1725.1,77136
8671.6,56292,25036
14275,21365,54360
11481,31409,47110
27761,20973,41266
59015,11514,19470
11042,48850,30109
75102,4395.7,10502
17852,17602,54546
22746,5419.8,61834
51710,2915.7,35375
33084,34372,22544
24112,44786,21102
27239,56017,6743.6
8466.5,72771,8762.8
1576.4,67382,21042
56968,797.66,32235
60660,11339,18001
78469,10566,964.75
42871,19777,27352
25523,47096,17381
20593,14642,54765
18532,29058,42410
16234,49035,24730
1388.9,62172,26439
36666,23435,29899
15475,39083,35442
2322.2,48366,39312
15012,6624.6,68363
10374,59011,20615
80223,1030.8,8746.2
53475,12503,24022
2763.7,82237,4999
14223,64091,11686
32703,47683,9613.5
11561,39862,38576
34086,13134,42780
11045,25984,52971
35447,27037,27516
25132,56360,8507.4
33662,43431,12907
8926.1,17009,64065
10268,17919,61814
62943,17956,9100.7
25390,16132,48478
8706.3,75403,5890.7
27981,24050,37969
17549,5972,66479
32650,48680,8670.7
35103,1579.9,53317
9808.7,63042,17149
62289,12453,15258
36914,51387,1699.4
49121,10575,30304
53354,9691.1,26955
30515,59324,161.47
72412,11631,5956.5
20860,51515,17625
7840.4,8579,73581
7365.5,81564,1070.3
60890,11322,17788
49431,26545,14025
42043,22261,25696
29424,24138,36438
9243.5,53910,26847
3771.3,20790,65438
42456,4698.4,42846
2770.7,43862,43367
32093,22281,35626
54464,33970,1565.9
59720,12069,18211
82133,3820.4,4046.6
48508,14158,27334
4907.7,23460,61632
36968,48358,4673.4
27123,49872,13004
23119,6074.9,60806
36077,38291,15633
87678,1358.4,964.08
2894.9,58908,28197
3026.4,28140,58834
60518,3656.8,25826
27688,61102,1209.5
30458,30483,29059
20095,35801,34104
36448,14773,38778
75551,1264.9,13184
15.759,57136,32848
12343,51933,25724
3424.4,17055,69520
61802,19579,8618.7
24040,31175,34786
13889,57567,18545
41619,25863,22519
15505,48021,26474
27206,46399,16394
2239.5,9520.3,78240
53426,4614.9,31959
7686.4,10491,71823
81846,5387.7,2766.6
17308,20216,52476
60301,6701.9,22997
58041,25062,6896.5
33185,13774,43041
11385,20587,58028
6354,34367,49279
58406,22302,9291.8
38766,13800,37434
7331.9,82500,167.84
5579.1,29957,54464
58252,1382.5,30366
14970,9491.2,65538
22905,48539,18556
1598.8,23221,65180
20088,33679,36232
20803,56705,12492
20469,58437,11095
44023,9157.6,36819
1706.9,40136,48157
4036.6,69149,16815
16664,34608,38727
48865,38810,2325.4
69482,3973.1,16545
25907,29973,34119
42093,21974,25933
81606,4125.6,4268.6
6311.6,66552,17137
24067,60101,5831.5
25894,23013,41093
48700,29661,11639
5941.1,18747,65312
6093.7,33348,50558
7556.2,11244,71200
22203,46237,21560
24140,47988,17872
56768,26312,6920.2
53974,6698.5,29328
2566.3,27060,60374
5558.9,43728,40713
10688,23284,56028
8865.7,35630,45505
41049,42597,6354
27222,8402.8,54376
30341,53464,6195
2301.2,81015,6684.1
86685,21.18,3293.6
14677,70798,4525
31573,40706,17721
18230,8081.5,63689
18414,34227,37359
20050,41585,28365
511.6,37499,51989
3032.9,85525,1442.5
29894,26795,33311
14444,30074,45482
55737,10126,24138
24165,3618.4,62217
45989,29006,15006
2173.7,36011,51815
29124,24126,36749
23682,21917,44401
27185,15437,47379
15627,7031.4,67342
40263,27520,22217
28885,45468,15647
25418,60973,3609.1
71352,2538.3,16110
2636.5,25177,62187
33073,5525.9,51401
10068,14524,65408
14879,54902,20219
1049.5,47671,41279
4701.4,50216,35082
59127,25984,4888.8
61664,27896,439.65
30181,6955.3,52863
13639,23347,53014
29177,47966,12857
31612,31913,26474
32579,798.87,56622
27508,23618,38874
30853,38954,20193
44950,11623,33427
20667,65867,3466
31868,24006,34126
37729,10794,41477
39678,23965,26357
10153,53615,26232
3313.5,10838,75848
61897,14040,14064
13884,6635.5,69481
13228,22586,54186
32264,12006,45730
1300.4,50434,38266
28371,29312,32317
55574,30628,3798.5
45141,39537,5321.9
1892.9,7812,80295
18415,68691,2894.7
18156,40078,31766
22127,46737,21136
48527,24345,17128
29635,54813,5551.7
41001,14755,34244
58683,9291.8,22025
24241,63228,2531.1
8082.6,30491,51427
63515,8010.8,18474
28575,27296,34130
36162,19586,34251
53702,33531,2766.8
4644.2,70624,14732
26281,1310.4,62409
46917,7416.3,35667
5763.7,17561,66675
30562,53270,6168.3
17878,39652,32471
48194,24391,17415
30711,8464.8,50824
68040,20395,1564.6
24257,42449,23293
25861,53836,10303
60323,28627,1050
11823,23717,54460
14395,8106.8,67498
32643,23384,33973
24876,10340,54784
42029,7795.3,40176
79711,3007.3,7281.6
56020,33166,814.76
21512,3329.4,65159
65576,2937.9,21486
12289,30852,46858
12945,65585,11469
2504.6,25750,61746
8518.1,34247,47235
81843,4660.3,3497.1
7925.1,60079,21996
7715.2,81780,504.66
4015.7,31909,54076
73422,2190.8,14387
23826,46954,19220
58519,27075,4406.3
6166.3,8999.6,74834
46806,3881.8,39312
3224,12325,74451
71799,17123,1077.6
21882,25593,42525
745.52,53366,35888
34519,10110,45372
52529,34357,3114
23343,14927,51729
17061,70535,2403.6
33031,27817,29152
1535.1,84823,3641.7
20447,29801,39752
76912,7468.6,5619
16883,4321.9,68795
64000,19352,6647.7
8774.6,72959,8266
54324,12901,22775
28645,50519,10836
24027,14885,51087
80691,7112.3,2196.2
65624,2797.6,21579
5710.4,14798,69492
49567,7106.2,33327
42020,36709,11271
13063,31020,45917
13692,23666,52642
41394,6972.4,41634
28679,30116,31204
777.48,76442,12780
6374.3,58616,25009
38068,40401,11530
29499,46488,14013
430.37,45533,44037
41673,28401,19926
48386,36784,4829.3
29685,17890,42425
10767,58146,21087
59163,26485,4352.2
22719,19362,47919
14818,61553,13629
74727,10951,4322.8
11983,23742,54275
28542,60586,872.69
7244,73137,9619
19876,45305,24819
58191,392,31417
32090,46299,11611
30565,43561,15874
6370,33178,50452
33467,28419,28113
57953,30660,1386.6
19723,67134,3142.9
33745,7222.2,49032
19625,40877,29498
64126,7978.6,17895
44645,43818,1536.6
35784,53215,1000.6
43898,11122,34980
18546,44012,27442
63488,11162,15350
70091,17521,2388.9
62125,11505,16370
39129,3790.1,47081
12606,29379,48016
12078,56677,21245
56097,76.79,33826
16773,9180.6,64046
41886,19398,28716
39873,23393,26734
23741,55844,10415
67906,16052,6042.3
64347,22851,2801
17271,2220.3,70509
18061,8504,63435
14071,72090,3839
11909,33211,44879
71557,17158,1284.3
15890,58698,15412
26245,7552.2,56203
21819,49620,18560
38833,9037.1,42129
37282,16222,36495
63112,780.23,26108
42649,7781.9,39569
86946,1116.4,1937.6
38391,38594,13015
43124,39197,7679.4
11812,35811,42376
47329,22494,20177
49946,6636.2,33418
13244,14204,62552
16661,1827.9,71511
32633,3824.5,53543
4750.1,61344,23906
22922,59397,7680.6
55563,2930.8,31506
14601,14547,60852
71191,2908.8,15900
18187,48988,22825
30558,4862,54580
28638,12776,48586
7583,5251.9,77165
25701,53305,10994
38448,36918,14633
23621,43775,22604
46992,14481,28527
34851,1890.2,53259
2121.8,21029,66850
12517,49172,28311
10515,22834,56651
8135.6,32401,49463
78626,3098.2,8275.8
17535,41674,30791
29371,19666,40963
11623,28232,50145
7839,4088.1,78073
23409,17258,49333
2261.6,55506,32232
9558.7,35517,44924
79566,8171.7,2262
82466,5707.8,1826.6
26338,38280,25382
18532,26463,45005
70995,14560,4444.1
64122,17428,8450
84224,1132.1,4643.5
60457,15972,13571
62999,872.22,26129
38672,49735,1592.6
54762,7936.5,27302
70030,1744,18226
18861,52386,18753
32669,24150,33181
14428,38028,37545
6673,64178,19148
17799,40692,31509
34045,35584,20371
22626,61021,6352.8
51622,37439,938.68
48514,30065,11421
17846,61063,11091
44475,14298,31226
16908,62180,10911
58291,4852.9,26857
63890,5989.1,20121
6912.1,52855,30233
27959,48521,13521
6230.4,27839,55931
47597,33895,8508.8
6371.9,2930.1,80698
16383,12429,61188
7323.9,74425,8250.8
56467,15590,17943
27014,9108.1,53878
5445.6,60745,23810
53722,5195.1,31083
708.11,24951,64341
27530,35561,26910
10122,53354,26524
5216.2,26809,57975
22673,195.12,67132
12981,22260,54759
1258.1,60571,28171
35438,12530,42032
76853,11266,1880.4
1199,55554,33247
13245,60788,15968
26070,8887.7,55042
2708.9,86425,866.09
44758,43736,1506
15507,5222.4,69271
35992,44643,9364.9
79871,3758.6,6370
21004,26849,42147
7793.4,56213,25993
60000,27249,2750.9
39358,16809,33833
58852,20703,10445
41400,46418,2182.7
41251,20211,28538
24801,17537,47662
3552.4,64869,21579
20772,31761,37467
31866,4389.1,53745
12109,39790,38101
16468,57890,15642
40864,24425,24711
3105.8,8180.1,78714
11123,39951,38926
56562,19833,13605
4027.2,17398,68574
22234,61437,6329.1
8826.1,75916,5257.6
1985.9,11522,76492
22377,59360,8262.9
56770,30918,2312.5
53344,31983,4672.4
73294,2309.9,14396
82991,311.95,6697.2
61770,3333.9,24896
3723.9,52886,33390
52678,26453,10869
26951,26406,36643
36162,32872,20966
29973,54073,5954.6
16162,50551,23287
3278.4,4205.5,82516
51053,3391.1,35556
45570,16193,28237
22786,2438.4,64775
66032,3556.4,20412
11640,57995,20364
51157,22328,16515
48198,26584,15218
62745,19236,8018.4
8947.8,80696,356.29
22960,32578,34461
16858,55359,17783
27169,41486,21345
13759,28843,47399
2154.3,59173,28673
5548.9,10288,74163
29163,52631,8205.4
23920,55014,11066
70047,10499,9454.1
24238,34252,31509
24283,31230,34486
38457,29383,22160
25179,44164,20656
53577,5459.3,30964
23881,12433,53686
53223,7020.5,29757
1339.9,30676,57984
28323,3815.2,57862
38583,20598,30819
31230,18801,39969
5067.9,44877,40055
66286,18417,5297.3
21055,17502,51443
29010,22009,38982
44230,19148,26622
17324,51456,21221
5449.7,24786,59764
76369,7672.1,5959
43338,32975,13688
665.74,35836,53498
36027,33970,20003
30304,51504,8191.7
61045,13896,15060
38221,32708,19071
3721.6,62884,23394
5308.3,37345,47347
32116,6911,50974
564.74,9141.2,80294
64971,12957,12072
46696,31067,12237
50681,19636,19683
41282,45069,3649.3
27795,38145,24060
33498,31252,25250
16321,52419,21260
12873,18704,58422
30626,50473,8901.7
26816,56565,6618.7
36015,12723,41262
43412,14456,32132
52542,26143,11315
13145,69689,7165.6
17620,48810,23570
3572.9,39202,47225
17013,39229,33758
17831,40268,31901
44035,33629,12337
1954.7,30082,57964
23010,38051,28939
19904,8344.5,61752
85125,1522.6,3352.7
4493.6,80989,4517.1
22306,249.17,67445
2827.4,62406,24767
56469,31964,1566.5
17338,10225,62437
32382,29952,27666
45591,26450,17959
14226,21254,54519
19048,15338,55614
67927,20400,1672.8
12123,44488,33389
40904,24219,24876
4138.5,62423,23439
49771,1383.3,38846
7782.4,10557,71661
630.5,79175,10195
45205,37626,7168.5
39448,31781,18771
51787,15968,22246
14165,28304,47531
36467,15987,37546
34882,22048,33070
15829,31386,42784
73403,14220,2376.7
